,Brand Name,Model Number,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type
0,PARMCO,TD6W-F1,Turkey,448,2.0,Dishwashers
1,PARMCO,TD6S-F1,Turkey,448,2.0,Dishwashers
6,AWARD,DW458S,China,294,1.5,Dishwashers
7,PARMCO,PD6-P*F-1,China,311,2.5,Dishwashers
8,PARMCO,PD6-PSF-1,China,311,2.5,Dishwashers
9,PARMCO,PD6-PWF-1,China,311,2.5,Dishwashers
10,ASKO,D5424,Sweden,385,2.5,Dishwashers
11,EUROTAG,W60A1A401,China,274,3.0,Dishwashers
12,EUROTAG,W60A1A401A,China,274,3.0,Dishwashers
13,EUROTAG,W60A1A401F,China,274,3.0,Dishwashers
14,SMEG,DWA**315**,Italy,243,4.0,Dishwashers
15,SMEG,DWA315B,Italy,243,4.0,Dishwashers
16,SMEG,DWA315S,Italy,243,4.0,Dishwashers
17,SMEG,DWA315W,Italy,243,4.0,Dishwashers
18,SMEG,DWA315X,Italy,243,4.0,Dishwashers
19,SMEG,DWAFI315PO,Italy,243,4.0,Dishwashers
20,SMEG,DWAFI315T,Italy,243,4.0,Dishwashers
21,SMEG,DWAI315XT,Italy,243,4.0,Dishwashers
22,SMEG,DWAU315B,Italy,243,4.0,Dishwashers
23,SMEG,DWAU315B1,Italy,243,4.0,Dishwashers
24,SMEG,DWAU315BT,Italy,243,4.0,Dishwashers
25,SMEG,DWAU315S,Italy,243,4.0,Dishwashers
26,SMEG,DWAU315S1,Italy,243,4.0,Dishwashers
27,SMEG,DWAU315ST,Italy,243,4.0,Dishwashers
28,SMEG,DWAU315W,Italy,243,4.0,Dishwashers
29,SMEG,DWAU315W1,Italy,243,4.0,Dishwashers
30,SMEG,DWAU315WT,Italy,243,4.0,Dishwashers
31,SMEG,DWAU315X,Italy,243,4.0,Dishwashers
32,SMEG,DWAU315X1,Italy,243,4.0,Dishwashers
33,SMEG,DWAU315XT,Italy,243,4.0,Dishwashers
34,EVERDURE,DWC065PS,China,191,2.0,Dishwashers
35,EVERDURE,DWC065WE,China,191,2.0,Dishwashers
36,EVERDURE,Everdure Benchtop,China,191,2.0,Dishwashers
37,WHIRLPOOL,ADP9200IX ,China,329,3.0,Dishwashers
38,DELONGHI,DEDW650S,China,227,4.0,Dishwashers
39,ARISTON,LFF 8M122 AUS,Poland,263,3.5,Dishwashers
40,ARISTON,LFF 8M122 Series,Poland,263,3.5,Dishwashers
41,ARISTON,LFF 8M122 X AUS,Poland,263,3.5,Dishwashers
42,INDESIT,DFP 58M94 A AUS,Poland,263,3.5,Dishwashers
43,INDESIT,DFP 58M94 A ** AUS,Poland,263,3.5,Dishwashers
44,INDESIT,DFP 58M94 A NX AUS,Poland,263,3.5,Dishwashers
45,ARISTON,LFD 11S123 OX AUS,Poland,282,3.5,Dishwashers
46,EVERDURE,DWF146PC,China,320,3.0,Dishwashers
47,EVERDURE,DWF146SC,China,320,3.0,Dishwashers
48,EVERDURE,DWF146WC,China,320,3.0,Dishwashers
49,EVERDURE,Everdure 2014 Range,China,320,3.0,Dishwashers
50,BLANCO,BDW45X,China,224,3.0,Dishwashers
51,EUROMAID,DC14S,Turkey,324,3.0,Dishwashers
52,EUROMAID,DR14S,Turkey,324,3.0,Dishwashers
53,EUROMAID,DR14W,Turkey,324,3.0,Dishwashers
54,EUROMAID,none,Turkey,324,3.0,Dishwashers
55,GAGGENAU,DF460163,Germany,388,2.0,Dishwashers
56,GAGGENAU,DF460164,Germany,388,2.0,Dishwashers
57,GAGGENAU,DF461163,Germany,388,2.0,Dishwashers
58,GAGGENAU,DF461164,Germany,388,2.0,Dishwashers
59,GAGGENAU,DI461113,Germany,388,2.0,Dishwashers
60,GAGGENAU,DI461133,Germany,388,2.0,Dishwashers
61,GAGGENAU,GV640A_13_ZEO,Germany,388,2.0,Dishwashers
62,GAGGENAU,DF240161,Germany,406,2.0,Dishwashers
63,ESATTO,EDW6**,China,278,3.0,Dishwashers
64,ESATTO,EDW6S,China,278,3.0,Dishwashers
65,ESATTO,EDW6SL,China,278,3.0,Dishwashers
66,ESATTO,EDW6W,China,278,3.0,Dishwashers
67,ESATTO,EDW****,China,320,3.0,Dishwashers
68,ESATTO,EDW6CS,China,320,3.0,Dishwashers
69,ESATTO,EDW6CW,China,320,3.0,Dishwashers
70,ESATTO,EDWI6CS,China,320,3.0,Dishwashers
71,RESIDENTIA,DWI6CS,China,320,3.0,Dishwashers
72,RESIDENTIA,DW4CS,China,224,3.0,Dishwashers
73,BOSCH,SPS60M08AU,Germany,197,3.0,Dishwashers
74,NEFF,S52N69X5EU,Germany,388,2.0,Dishwashers
75,BOSCH,SMS40E08AU,"Turkey,Germany",268,3.0,Dishwashers
