,Brand Name,Model Number,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type
0,KOGAN,KALED32SMTZA,China,156.0,4.0,Televisions
1,KOGAN,KALED32XXXZB,China,131.0,5.0,Televisions
2,JVC,LT-50N530Z,China,386.0,3.5,Televisions
3,TEAC,LED2402FV,China,96.0,4.0,Televisions
4,TEAC,LEDV2416FV,China,96.0,4.0,Televisions
5,SUNVIEW,SA28ADEHDP,China,91.0,5.5,Televisions
6,WINTAL,15LED14HD,China,37.0,6.0,Televisions
7,KONKA,KDL55JT611A,China,354.0,5.0,Televisions
8,SAMSUNG,UA85HU8500W,Malaysia,773.0,5.0,Televisions
9,SHARP,LC-60LE360X,Malaysia,453.0,4.5,Televisions
10,SHARP,,Malaysia,454.0,5.5,Televisions
11,SHARP,LC-70LE360X,Malaysia,454.0,5.5,Televisions
12,SAMSUNG,UA40H5303AW,Malaysia,163.0,5.5,Televisions
13,SAMSUNG,UA58H5200AW,Malaysia,249.0,6.0,Televisions
14,SAMSUNG,UA48H4200AW,Malaysia,152.0,7.0,Televisions
15,SAMSUNG,UA55H6800,Malaysia,239.0,6.0,Televisions
16,SAMSUNG,UA55H6800AS,Malaysia,239.0,6.0,Televisions
17,SAMSUNG,UA55H6800AW,Malaysia,239.0,6.0,Televisions
18,SAMSUNG,UA48H6800,Malaysia,199.0,6.0,Televisions
19,SAMSUNG,UA48H6800AS,Malaysia,199.0,6.0,Televisions
20,SAMSUNG,UA48H6800AW,Malaysia,199.0,6.0,Televisions
21,BANG & OLUFSEN,BeoVision Avant 55,"Denmark,Czechia",618.0,2.0,Televisions
22,VEON,V55FHD,China,404.0,4.0,Televisions
23,VEON,V39FHDC,China,189.0,5.0,Televisions
24,BANG & OLUFSEN,BeoVision Avant,"Czechia,Denmark",1136.0,3.0,Televisions
25,BANG & OLUFSEN,BeoVision Avant 85,"Czechia,Denmark",1136.0,3.0,Televisions
26,CHANGHONG,LED65C5500I,China,372.0,6.0,Televisions
27,SHARP,LC-32LE360X,Malaysia,126.0,5.0,Televisions
28,MILLENNIUS,MLED65F03D3DS,China,650.0,3.5,Televisions
29,HISENSE,65K680UAD,China,512.0,4.5,Televisions
30,HISENSE,40K220PW,China,174.0,5.5,Televisions
31,HISENSE,55K680UAD,China,476.0,3.5,Televisions
32,RV MEDIA,041969,Hong Kong,85.0,4.0,Televisions
33,RV MEDIA,042307,Hong Kong,92.0,3.0,Televisions
34,HISENSE,32K220W,China,144.0,4.5,Televisions
35,PANASONIC,TH-48AX670Z,Malaysia,404.0,3.0,Televisions
36,PANASONIC,TH-55AX670Z,Malaysia,495.0,3.0,Televisions
37,HISENSE,42K320UW,China,237.0,4.5,Televisions
38,WINTAL,32LED15HD,China,96.0,6.0,Televisions
39,WINTAL,42LED15FHD,China,163.0,6.0,Televisions
40,WINTAL,50LED15FHD,China,235.0,5.5,Televisions
41,SHARP,LC32LE265,Malaysia,116.0,5.5,Televisions
42,SHARP,LC-32LE265X,Malaysia,116.0,5.5,Televisions
43,SHARP,LC-32LE265X-WH,Malaysia,116.0,5.5,Televisions
44,SHARP,LC40LE265,Malaysia,186.0,5.0,Televisions
45,SHARP,LC-40LE265X,Malaysia,186.0,5.0,Televisions
46,SHARP,LC-40LE265X-WH,Malaysia,186.0,5.0,Televisions
47,SHARP,LC-40LE460X,China,232.0,4.0,Televisions
48,PALSONIC,TFTV501UHD,China,422.0,3.0,Televisions
49,PANASONIC,TH-65AX900Z,Japan,811.0,2.5,Televisions
50,PANASONIC,TH-85X940Z,Japan,1190.0,3.0,Televisions
51,KONKA,KDL40ES620A,China,255.0,4.5,Televisions
52,KONKA,KDL40MT627AN,China,225.0,5.0,Televisions
53,PALSONIC,TFTV6055M,China,93.0,4.5,Televisions
54,PALSONIC,TFTV6055MW,China,93.0,4.5,Televisions
55,PALSONIC,TFTV6055M/W,China,93.0,4.5,Televisions
56,SONIQ,S48V14A-AU,China,330.0,4.0,Televisions
57,SONIQ,S48V14A-NZ,China,330.0,4.0,Televisions
58,BEXA,BXE4814AU,China,330.0,4.0,Televisions
59,BEXA,BXE4814NZ,China,330.0,4.0,Televisions
62,SENZU,SU48SE-V14AAU,China,330.0,4.0,Televisions
63,SENZU,SU48SE-V14ANZ,China,330.0,4.0,Televisions
64,SONIQ,S40V14A-AU,China,240.0,4.0,Televisions
65,SONIQ,S40V14A-NZ,China,240.0,4.0,Televisions
66,SHARP,LC-60LE660X,Malaysia,399.0,5.0,Televisions
67,SHARP,LC-70LE660X,Malaysia,469.0,5.5,Televisions
68,TEAC,LEDV2816FV,China,119.0,4.5,Televisions
69,TEAC,LEDV1916FV,China,84.0,3.5,Televisions
70,TEAC,LEDV2216FV,China,108.0,3.0,Televisions
71,KOGAN,KALED32SMTZB,China,164.0,4.0,Televisions
72,DICK SMITH,GE6870,China,82.0,3.5,Televisions
73,DICK SMITH,GE6880,China,450.0,3.5,Televisions
74,BLAUPUNKT,BP2212MHDV,China,76.0,4.5,Televisions
75,BLAUPUNKT,BP5040UHD,China,353.0,4.0,Televisions
76,SHARP,LC-40LE660X,Malaysia,231.0,4.0,Televisions
77,SAMSUNG,LH48EBDWLGU/XY,Malaysia,221.0,5.5,Televisions
78,SHARP,LC-50LE460X,Malaysia,336.0,4.0,Televisions
79,SKYWORTH,42E510,China,275.0,3.5,Televisions
80,LG,42LY960H-TA,"Indonesia,South Korea",165.0,6.0,Televisions
81,LG,105UC9T-TA,"South Korea,Indonesia",1066.0,4.5,Televisions
82,DICK SMITH,GE6878,China,260.0,5.0,Televisions
83,DICK SMITH,GE6871,China,103.0,3.5,Televisions
84,DICK SMITH,GE6872,China,94.0,4.5,Televisions
85,DICK SMITH,GE6875,China,157.0,4.0,Televisions
86,DICK SMITH,GE6876,China,153.0,4.0,Televisions
87,DICK SMITH,GE6877,China,240.0,4.0,Televisions
88,DICK SMITH,GE6932,China,94.0,4.5,Televisions
89,DICK SMITH,GE6933,China,94.0,4.5,Televisions
90,LG,79UG880T-TA,"Indonesia,South Korea",599.0,5.5,Televisions
91,LG,47LY960H-TA,"Indonesia,South Korea",188.0,6.0,Televisions
92,LG,55LY960H-TA,"South Korea,Indonesia",225.0,6.0,Televisions
93,LG,60LY960H-TA,"Indonesia,South Korea",248.0,7.0,Televisions
94,KOGAN,KALED32XXXVA,China,135.0,4.5,Televisions
95,KOGAN,KALED32DVDVA,China,134.0,4.5,Televisions
96,SONIQ,65” UltraHD LED LCD Smart TV,China,620.0,3.5,Televisions
97,PALSONIC,TFTV6066M,China,97.0,4.0,Televisions
98,PALSONIC,TFTV6066M / MW,China,97.0,4.0,Televisions
99,PALSONIC,TFTV6066MW,China,97.0,4.0,Televisions
100,VEON,VN42S90LED,China,240.0,4.0,Televisions
101,VEON,VN50S90LED,China,444.0,3.0,Televisions
102,DICK SMITH,GE6987,China,189.0,5.0,Televisions
103,TANDY,GE6922,China,94.0,4.5,Televisions
104,TANDY,GE6923,China,153.0,4.0,Televisions
105,BAUHN,ATV32H-014,China,144.0,4.5,Televisions
