,Brand Name,Model Number,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type
0,NOUVEAU,NDR4,China,180,2.0,Dryers
1,TUSCANY,T-GDZ60-09E,China,265,2.0,Dryers
2,ACQUA,GY-ESD60W,China,265,2.0,Dryers
3,TRIESTE,ED-D6KG,China,265,2.0,Dryers
4,WHIRLPOOL,WCDE80DW,France,355,2.0,Dryers
5,SAMSUNG ELECTRONICS,DV70H4400CW,South Korea,339,1.5,Dryers
6,WHIRLPOOL,WDEHP80DW,France,185,6.0,Dryers
7,BOSCH,WTB86200AU,Poland,360,2.0,Dryers
8,MIELE,TK* ***,"Germany,Czechia",158,7.0,Dryers
9,MIELE,TKB 450 WP,"Germany,Czechia",158,7.0,Dryers
10,MIELE,TKG 450 WP,"Germany,Czechia",158,7.0,Dryers
11,MIELE,TKR 450 WP,"Germany,Czechia",143,7.0,Dryers
12,SAMSUNG ELECTRONICS,DV80H4100CW,South Korea,379,1.5,Dryers
13,INDESIT,IWDC 7125,Italy,193,2.0,Dryers
14,INDESIT,IWDC 7125 B (AUS),Italy,193,2.0,Dryers
15,INDESIT,IWDC 7125 B (AUS)1,Italy,193,2.0,Dryers
16,ARISTON,ARMF 125,Italy,193,2.0,Dryers
17,ARISTON,ARMF125 (AUS),Italy,193,2.0,Dryers
18,ARISTON,ARMF125 (AUS)1,Italy,193,2.0,Dryers
19,MIELE,TDA 150 C,"Germany,Czechia",292,2.0,Dryers
20,LG,TD-C902H,South Korea,170,7.0,Dryers
21,MIELE,TKB350WP,"Germany,Czechia",158,7.0,Dryers
22,BOSCH,WTY88701AU,Poland,165,7.0,Dryers
23,LG,TD-C801H,South Korea,148,7.0,Dryers
24,ASKO,T884XLHP,Slovenia,154,6.0,Dryers
25,FISHER & PAYKEL,DE8060P*,China,355,2.0,Dryers
26,FISHER & PAYKEL,DE8060P2,China,355,2.0,Dryers
27,CELL-SUN,TVD60-08E,China,269,2.0,Dryers
28,CELL-SUN,TVD60-08EF,China,269,2.0,Dryers
29,CELL-SUN,TVD60-09E,China,269,2.0,Dryers
30,CELL-SUN,TVD60-09EF,China,269,2.0,Dryers
31,EUROTECH,ED-CD6KG,Turkey,262,2.0,Dryers
33,GALANZ,DC-80S1U,China,326,2.5,Dryers
34,GALANZ,DC-80S3U,China,326,2.5,Dryers
35,SHEFFIELD,PLA1329,China,150,3.0,Dryers
36,PYE,CD06ELEC,China,269,2.0,Dryers
