,Brand Name,Model Number,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type
0,HAIER,XQJ50 31A,China,480,1.5,Washing Machines
1,INDESIT,W93,Italy,240,3.5,Washing Machines
2,INDESIT,WE12,Italy,277,3.5,Washing Machines
3,INDESIT,WD11,Italy,327,3.0,Washing Machines
4,SMEG,S750,Chile,380,2.5,Washing Machines
5,SMEG,S650,Chile,377,2.5,Washing Machines
6,MALBER,6,Italy,231,3.5,Washing Machines
7,CANDY,CB 103 TR,Italy,654,1.0,Washing Machines
8,ASKO,W6444,Sweden,180,5.0,Washing Machines
9,ASKO,W6564,Sweden,180,5.0,Washing Machines
10,ASKO,W6984,Sweden,180,5.0,Washing Machines
11,ASKO,W6884,Sweden,180,5.0,Washing Machines
12,WHIRLPOOL,WTWE75AW1,India,620,2.0,Washing Machines
13,WHIRLPOOL,WTWE85IG1,India,462,3.0,Washing Machines
14,WHIRLPOOL,WTWE85IW1,India,462,3.0,Washing Machines
15,WHIRLPOOL,WTWE85IW1 / WTWE85IG1,India,462,3.0,Washing Machines
16,HISENSE,HWFE7510,China,420,3.0,Washing Machines
17,EURO,EFL6KWH,China,265,3.0,Washing Machines
18,BRAV,GreenTech10A,China,432,2.5,Washing Machines
19,BEKO,WMY 1048 LB1,Turkey,380,4.0,Washing Machines
20,EUROMAID,TL6KG,China,544,1.5,Washing Machines
21,ARISTON,ARMF125 (AUS),Italy,544,2.5,Washing Machines
22,ARISTON,ARMF125 (AUS)1,Italy,544,2.5,Washing Machines
23,ARISTON,ARXF125,Italy,544,2.5,Washing Machines
24,INDESIT,IWDC 7125,Italy,544,2.5,Washing Machines
25,INDESIT,IWDC 7125 B (AUS),Italy,544,2.5,Washing Machines
26,INDESIT,IWDC 7125 B (AUS)1,Italy,544,2.5,Washing Machines
27,EUROMAID,TL8KG,China,586,2.0,Washing Machines
28,PANASONIC,NA-F85H3W**,Taiwan,730,2.0,Washing Machines
29,PANASONIC,NA-F85H3WAU,Taiwan,730,2.0,Washing Machines
30,PANASONIC,NA-F85H3WNZ,Taiwan,730,2.0,Washing Machines
31,FISHER & PAYKEL,WH8060P*,China,295,4.0,Washing Machines
32,FISHER & PAYKEL,WH8060P2,China,295,4.0,Washing Machines
34,FISHER & PAYKEL,WH8060P1,China,295,4.0,Washing Machines
35,LEMAIR,LW5,China,420,2.0,Washing Machines
36,LEMAIR,LTT8,China,662,1.5,Washing Machines
37,ARISTON,AQ82F 29 AUS,Italy,297,4.0,Washing Machines
38,ARISTON,AQ82L 29 AUS,Italy,297,4.0,Washing Machines
39,ARISTON,AQ82 Series,Italy,297,4.0,Washing Machines
40,ARISTON,AQ94F 49D AUS,Italy,256,4.5,Washing Machines
41,ARISTON,AQ104D 69D AUS,Italy,289,4.5,Washing Machines
42,SAMSUNG,WA10J7750GW,China,561,3.0,Washing Machines
43,TECO,TWM80TTAMFBE,China,662,1.5,Washing Machines
44,MIELE,WDA 210 WPM,"Germany,Czechia",242,4.0,Washing Machines
45,MIELE,WDA 110,"Czechia,Germany",242,4.0,Washing Machines
46,TECO,TWM65TTAMFBE,China,501,2.0,Washing Machines
47,TECO,TWM100TTAMFBE,China,811,2.0,Washing Machines
48,MIELE,WK*130,"Czechia,Germany",230,4.5,Washing Machines
49,MIELE,WKB130,"Czechia,Germany",230,4.5,Washing Machines
50,MIELE,WKG130,"Czechia,Germany",230,4.5,Washing Machines
51,MIELE,WK***0,"Czechia,Germany",231,4.5,Washing Machines
52,MIELE,WKF130,"Czechia,Germany",231,4.5,Washing Machines
53,MIELE,WKF130 WPS,"Czechia,Germany",231,4.5,Washing Machines
54,MIELE,WKH130 WPS,"Czechia,Germany",231,4.5,Washing Machines
55,MIELE,WKR770 WPS,"Czechia,Germany",231,4.5,Washing Machines
56,BOSCH,WAS28464AU,China,260,4.0,Washing Machines
57,FISHER & PAYKEL,WA1068P*,Thailand,345,4.0,Washing Machines
