,Brand Name,Model Number,Size,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type,EcoLife Rating
0,ASUS,VE248***,24.0 LCD (LED),China,88,4.5,Computer Monitor,Low
1,ASUS,VE248,24.0 LCD (LED),China,88,4.5,Computer Monitor,Low
2,ASUS,VE248HR,24.0 LCD (LED),China,88,4.5,Computer Monitor,Low
3,ASUS,VE248Q,24.0 LCD (LED),China,88,4.5,Computer Monitor,Low
4,ASUS,VE248T,24.0 LCD (LED),China,88,4.5,Computer Monitor,Low
5,ASUS,VE248TLB,24.0 LCD (LED),China,88,4.5,Computer Monitor,Low
6,ASUS,VK228***,22.0 LCD (LED),China,67,5.5,Computer Monitor,Low
7,ASUS,VK228,22.0 LCD (LED),China,67,5.5,Computer Monitor,Low
8,ASUS,VK228H-,22.0 LCD (LED),China,67,5.5,Computer Monitor,Low
9,ASUS,VK228T,22.0 LCD (LED),China,67,5.5,Computer Monitor,Low
10,AOC,250LM00001,25.0 LCD (LED),China,125,3,Computer Monitor,Medium
11,AOC,340LM00001,34.0 LCD (LED),China,260,1.5,Computer Monitor,High
12,FUJITSU,DY23T-7,23.0 LCD (LED),Germany,68,5.5,Computer Monitor,Low
13,FUJITSU,DY24W-7,24.0 LCD (LED),Germany,66,6,Computer Monitor,Low
14,NEC,AS224WMi,22.0 LCD (LED),China,63,5.5,Computer Monitor,Low
15,LG,22MB35PU,22.0 LCD,"China,South Korea,Indonesia",80,5,Computer Monitor,Low
16,LG,27MP35HA,27.0 LCD,"China,South Korea,Indonesia",110,4.5,Computer Monitor,Medium
17,DELL,S2415Hb,24.0 LCD,China,62,6,Computer Monitor,Low
18,DELL,E2015HVf,19.0 LCD,China,54,5.5,Computer Monitor,Low
19,DELL,E2215HVf,22.0 LCD,China,77,4.5,Computer Monitor,Low
20,DELL,E2715Hf,27.0 LCD,China,76,6,Computer Monitor,Low
21,LG,23MB35PMF,23.0 LCD,"China,South Korea,Indonesia",83,4.5,Computer Monitor,Low
22,LG,29UB55D,29.0 LCD,"China,South Korea,Indonesia",118,4,Computer Monitor,Medium
23,AOC,270LM00009,27.0 LCD (LED),China,165,2.5,Computer Monitor,Medium
24,SAMSUNG,S24D300B,24.0 LCD (LED),South Korea,87,5,Computer Monitor,Low
25,VIEWSONIC,VS15843,19.0 LCD,China,64,5,Computer Monitor,Low
26,LG,17MB15PA,17.0 LCD,"Indonesia,South Korea,China",54,5.5,Computer Monitor,Low
27,LG,25UM55D,25.0 LCD,"China,Indonesia,South Korea",107,3.5,Computer Monitor,Medium
28,LG,29UM55D,29.0 LCD,"China,Indonesia,South Korea",114,4,Computer Monitor,Medium
29,DELL,D2015Hf,20.0 LCD,China,61,5,Computer Monitor,Low
30,HP,STND-5001-A,32.0 LCD (LED),China,170,3.5,Computer Monitor,Medium
31,BENQ,EZ2450L,24.0 LCD (LED),China,92,4.5,Computer Monitor,Low
32,BENQ,EZ2450LC,24.0 LCD (LED),China,92,4.5,Computer Monitor,Low
33,BENQ,EZ2450LE,24.0 LCD (LED),China,92,4.5,Computer Monitor,Low
34,BENQ,EZ2455L,24.0 LCD (LED),China,92,4.5,Computer Monitor,Low
35,BENQ,EZ2455LC,24.0 LCD (LED),China,92,4.5,Computer Monitor,Low
36,BENQ,EZ2455LE,24.0 LCD (LED),China,92,4.5,Computer Monitor,Low
37,PHILIPS,243V5Q,24.0 LCD (LED),China,116,3.5,Computer Monitor,Medium
38,BENQ,XL2420G,24.0 LCD (LED),China,112,3.5,Computer Monitor,Medium
39,BENQ,XL2420GE,24.0 LCD (LED),China,112,3.5,Computer Monitor,Medium
40,LG,24GM77,24.0 LCD (LED),"South Korea,Indonesia,China",105,4,Computer Monitor,Medium
41,BENQ,RL2240HE,22.0 LCD (LED),China,88,4,Computer Monitor,Low
42,BENQ,BL2700HC,27.0 LCD (LED),China,128,4,Computer Monitor,Medium
43,BENQ,BL2700HE,27.0 LCD (LED),China,128,4,Computer Monitor,Medium
44,BENQ,BL2700HT,27.0 LCD (LED),China,128,4,Computer Monitor,Medium
45,LG,19M37D,19.0 LCD,"China,South Korea,Indonesia",54,5.5,Computer Monitor,Low
46,LG,31MU97,31.0 LCD (LED),"China,Indonesia,South Korea",207,2.5,Computer Monitor,High
47,DELL,U2515Hc,25.0 LCD (LED),China,101,4.5,Computer Monitor,Medium
48,PHILIPS,193V5L,19.0 LCD (LED),China,60,5,Computer Monitor,Low
49,LG,34UC97,34.0 LCD (LED),"China,Indonesia,South Korea",222,2.5,Computer Monitor,High
50,DELL,2415Qb,24.0 LCD,China,133,3,Computer Monitor,Medium
51,BENQ,SW2401PE,24.0 LCD (LED),China,115,3.5,Computer Monitor,Medium
53,BENQ,SW2401,24.0 LCD (LED),China,115,3.5,Computer Monitor,Medium
54,BENQ,SW2401PT,24.0 LCD (LED),China,115,3.5,Computer Monitor,Medium
57,DELL,U3415Wb,34.0 LCD,China,179,3.5,Computer Monitor,Medium
58,VIEWSONIC,VS15927,24.0 LCD (LED),China,118,3.5,Computer Monitor,Medium
59,HP,V242,24.0 LCD (LED),China,76,5.5,Computer Monitor,Low
60,HP,STND-5021-A,31.0 LCD (LED),China,284,1.5,Computer Monitor,High
61,HP,Z32s,31.0 LCD (LED),China,284,1.5,Computer Monitor,High
64,BENQ,EW2750ZC,27.0 LCD (LED),China,126,4,Computer Monitor,Medium
65,BENQ,EW2750ZE,27.0 LCD (LED),China,126,4,Computer Monitor,Medium
66,BENQ,EW2750Z,27.0 LCD (LED),China,126,4,Computer Monitor,Medium
67,BENQ,EW2750ZL,27.0 LCD (LED),China,126,4,Computer Monitor,Medium
72,BENQ,EW2750ZM,27.0 LCD (LED),China,126,4,Computer Monitor,Medium
74,SAMSUNG,LS27D590CS,27.0 LCD (LED),South Korea,130,4,Computer Monitor,Medium
75,SAMSUNG,LS27D590CS/XY,27.0 LCD (LED),South Korea,130,4,Computer Monitor,Medium
76,SAMSUNG,LS27D590CS/ZN,27.0 LCD (LED),South Korea,130,4,Computer Monitor,Medium
77,KOGAN,KALED24144A,24.0 LCD (LED),China,50,7,Computer Monitor,Low
78,KOGAN,KALED24144B,24.0 LCD (LED),China,50,7,Computer Monitor,Low
79,KOGAN,KALED24144C,24.0 LCD (LED),China,50,7,Computer Monitor,Low
80,KOGAN,KALED24144D,24.0 LCD (LED),China,50,7,Computer Monitor,Low
81,KOGAN,KALED24144E,24.0 LCD (LED),China,50,7,Computer Monitor,Low
82,KOGAN,KALED24144F,24.0 LCD (LED),China,50,7,Computer Monitor,Low
83,KOGAN,KALED24144G,24.0 LCD (LED),China,50,7,Computer Monitor,Low
84,KOGAN,KALED24144,24.0 LCD (LED),China,50,7,Computer Monitor,Low
85,KOGAN,SYM24E01D,24.0 LCD (LED),China,50,7,Computer Monitor,Low
86,KOGAN,SYM24E02D,24.0 LCD (LED),China,50,7,Computer Monitor,Low
87,KOGAN,SYM24E03D,24.0 LCD (LED),China,50,7,Computer Monitor,Low
88,PHILIPS,231S4Q,23.0 LCD (LED),Netherlands,86,4.5,Computer Monitor,Low
89,GAEMS,M155,16.0 LCD (LED),China,33,7,Computer Monitor,Low
90,LG,20M37D,19.0 LCD,"Indonesia,South Korea,China",55,5.5,Computer Monitor,Low
91,LG,22M37D,22.0 LCD,"Indonesia,South Korea,China",64,5.5,Computer Monitor,Low
92,LG,27MP37HQ,27.0 LCD,"South Korea,Indonesia,China",100,5,Computer Monitor,Medium
93,LG,22MP57HQ,22.0 LCD,"South Korea,Indonesia,China",80,4.5,Computer Monitor,Low
94,LG,23MP57HQ,23.0 LCD,"South Korea,Indonesia,China",75,5,Computer Monitor,Low
95,LG,24MP57VQ,24.0 LCD,"South Korea,Indonesia,China",87,4.5,Computer Monitor,Low
96,LG,27MP57VQ,27.0 LCD,"South Korea,Indonesia,China",108,4.5,Computer Monitor,Medium
97,DELL,2314Hc,23.0 LCD (LED),China,88,4.5,Computer Monitor,Low
98,PHILIPS,247E6E,24.0 LCD (LED),China,98,4,Computer Monitor,Low
99,SAMSUNG,LS27E390,27.0 LCD (LED),South Korea,95,5,Computer Monitor,Low
100,SAMSUNG,LS27E390,27.0 LCD (LED),South Korea,95,5,Computer Monitor,Low
101,SAMSUNG,LS27E390HS,27.0 LCD (LED),South Korea,95,5,Computer Monitor,Low
102,PHILIPS,277E6E,27.0 LCD (LED),China,112,4.5,Computer Monitor,Medium
103,LG,24M47VQ,24.0 LCD,"South Korea,Indonesia,China",84,5,Computer Monitor,Low
104,LG,24MP77HM,24.0 LCD,"South Korea,Indonesia,China",85,5,Computer Monitor,Low
105,LG,27MP77HM,27.0 LCD,"South Korea,Indonesia,China",93,5,Computer Monitor,Low
106,LG,23MP67VQ,23.0 LCD,"South Korea,Indonesia,China",77,5,Computer Monitor,Low
107,LG,24MP57HQ,24.0 LCD,"South Korea,Indonesia,China",87,4.5,Computer Monitor,Low
108,LG,24MP67VQ,24.0 LCD,"South Korea,Indonesia,China",83,5,Computer Monitor,Low
109,LG,27MP37VQ,27.0 LCD,"South Korea,Indonesia,China",100,5,Computer Monitor,Medium
110,LG,27MP57HQ,27.0 LCD,"South Korea,Indonesia,China",108,4.5,Computer Monitor,Medium
