,Brand Name,Model Number,Size,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type,EcoLife Rating
0,PARMCO,TD6W-F1,14,Turkey,448,2,Dishwashers,High
1,PARMCO,TD6S-F1,14,Turkey,448,2,Dishwashers,High
6,AWARD,DW458S,8,China,294,1.5,Dishwashers,Medium
7,PARMCO,PD6-P*F-1,12,China,311,2.5,Dishwashers,High
8,PARMCO,PD6-PSF-1,12,China,311,2.5,Dishwashers,High
9,PARMCO,PD6-PWF-1,12,China,311,2.5,Dishwashers,High
10,ASKO,D5424,14,Sweden,385,2.5,Dishwashers,High
11,EUROTAG,W60A1A401,12,China,274,3,Dishwashers,Medium
12,EUROTAG,W60A1A401A,12,China,274,3,Dishwashers,Medium
13,EUROTAG,W60A1A401F,12,China,274,3,Dishwashers,Medium
14,SMEG,DWA**315**,15,Italy,243,4,Dishwashers,Medium
15,SMEG,DWA315B,15,Italy,243,4,Dishwashers,Medium
16,SMEG,DWA315S,15,Italy,243,4,Dishwashers,Medium
17,SMEG,DWA315W,15,Italy,243,4,Dishwashers,Medium
18,SMEG,DWA315X,15,Italy,243,4,Dishwashers,Medium
19,SMEG,DWAFI315PO,15,Italy,243,4,Dishwashers,Medium
20,SMEG,DWAFI315T,15,Italy,243,4,Dishwashers,Medium
21,SMEG,DWAI315XT,15,Italy,243,4,Dishwashers,Medium
22,SMEG,DWAU315B,15,Italy,243,4,Dishwashers,Medium
23,SMEG,DWAU315B1,15,Italy,243,4,Dishwashers,Medium
24,SMEG,DWAU315BT,15,Italy,243,4,Dishwashers,Medium
25,SMEG,DWAU315S,15,Italy,243,4,Dishwashers,Medium
26,SMEG,DWAU315S1,15,Italy,243,4,Dishwashers,Medium
27,SMEG,DWAU315ST,15,Italy,243,4,Dishwashers,Medium
28,SMEG,DWAU315W,15,Italy,243,4,Dishwashers,Medium
29,SMEG,DWAU315W1,15,Italy,243,4,Dishwashers,Medium
30,SMEG,DWAU315WT,15,Italy,243,4,Dishwashers,Medium
31,SMEG,DWAU315X,15,Italy,243,4,Dishwashers,Medium
32,SMEG,DWAU315X1,15,Italy,243,4,Dishwashers,Medium
33,SMEG,DWAU315XT,15,Italy,243,4,Dishwashers,Medium
34,EVERDURE,DWC065PS,6,China,191,2,Dishwashers,Low
35,EVERDURE,DWC065WE,6,China,191,2,Dishwashers,Low
36,EVERDURE,Everdure Benchtop,6,China,191,2,Dishwashers,Low
37,WHIRLPOOL,ADP9200IX,14,China,329,3,Dishwashers,High
38,DELONGHI,DEDW650S,15,China,227,4,Dishwashers,Medium
39,ARISTON,LFF 8M122 AUS,14,Poland,263,3.5,Dishwashers,Medium
40,ARISTON,LFF 8M122 Series,14,Poland,263,3.5,Dishwashers,Medium
41,ARISTON,LFF 8M122 X AUS,14,Poland,263,3.5,Dishwashers,Medium
42,INDESIT,DFP 58M94 A AUS,14,Poland,263,3.5,Dishwashers,Medium
43,INDESIT,DFP 58M94 A ** AUS,14,Poland,263,3.5,Dishwashers,Medium
44,INDESIT,DFP 58M94 A NX AUS,14,Poland,263,3.5,Dishwashers,Medium
45,ARISTON,LFD 11S123 OX AUS,15,Poland,282,3.5,Dishwashers,Medium
46,EVERDURE,DWF146PC,14,China,320,3,Dishwashers,High
47,EVERDURE,DWF146SC,14,China,320,3,Dishwashers,High
48,EVERDURE,DWF146WC,14,China,320,3,Dishwashers,High
49,EVERDURE,Everdure 2014 Range,14,China,320,3,Dishwashers,High
50,BLANCO,BDW45X,10,China,224,3,Dishwashers,Low
