,Brand Name,Model Number,Size,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type,EcoLife Rating
0,NOUVEAU,NDR4,4,China,180,2,Dryers,Low
1,TUSCANY,T-GDZ60-09E,6,China,265,2,Dryers,High
2,ACQUA,GY-ESD60W,6,China,265,2,Dryers,High
3,TRIESTE,ED-D6KG,6,China,265,2,Dryers,High
4,WHIRLPOOL,WCDE80DW,8,France,355,2,Dryers,High
5,SAMSUNG ELECTRONICS,DV70H4400CW,7,South Korea,339,1.5,Dryers,High
6,WHIRLPOOL,WDEHP80DW,8,France,185,6,Dryers,Low
7,BOSCH,WTB86200AU,8,Poland,360,2,Dryers,High
8,MIELE,TK* ***,8,"Germany,Czechia",158,7,Dryers,Low
9,MIELE,TKB 450 WP,8,"Germany,Czechia",158,7,Dryers,Low
10,MIELE,TKG 450 WP,8,"Germany,Czechia",158,7,Dryers,Low
11,MIELE,TKR 450 WP,8,"Germany,Czechia",143,7,Dryers,Low
12,SAMSUNG ELECTRONICS,DV80H4100CW,8,South Korea,379,1.5,Dryers,High
13,INDESIT,IWDC 7125,4.5,Italy,193,2,Dryers,Low
14,INDESIT,IWDC 7125 B (AUS),4.5,Italy,193,2,Dryers,Low
15,INDESIT,IWDC 7125 B (AUS)1,4.5,Italy,193,2,Dryers,Low
16,ARISTON,ARMF 125,4.5,Italy,193,2,Dryers,Low
17,ARISTON,ARMF125 (AUS),4.5,Italy,193,2,Dryers,Low
18,ARISTON,ARMF125 (AUS)1,4.5,Italy,193,2,Dryers,Low
19,MIELE,TDA 150 C,7,"Germany,Czechia",292,2,Dryers,High
20,LG,TD-C902H,9,South Korea,170,7,Dryers,Low
21,MIELE,TKB350WP,8,"Germany,Czechia",158,7,Dryers,Low
22,BOSCH,WTY88701AU,9,Poland,165,7,Dryers,Low
23,LG,TD-C801H,8,South Korea,148,7,Dryers,Low
24,ASKO,T884XLHP,10,Slovenia,154,6,Dryers,Low
25,FISHER & PAYKEL,DE8060P*,8,China,355,2,Dryers,High
26,FISHER & PAYKEL,DE8060P2,8,China,355,2,Dryers,High
27,CELL-SUN,TVD60-08E,6,China,269,2,Dryers,High
28,CELL-SUN,TVD60-08EF,6,China,269,2,Dryers,High
29,CELL-SUN,TVD60-09E,6,China,269,2,Dryers,High
30,CELL-SUN,TVD60-09EF,6,China,269,2,Dryers,High
31,EUROTECH,ED-CD6KG,6,Turkey,262,2,Dryers,High
33,GALANZ,DC-80S1U,8,China,326,2.5,Dryers,High
34,GALANZ,DC-80S3U,8,China,326,2.5,Dryers,High
35,SHEFFIELD,PLA1329,4,China,150,3,Dryers,Low
36,PYE,CD06ELEC,6,China,269,2,Dryers,High
38,STIRLING,GYJ70-78F3E,6.5,China,287,2,Dryers,High
39,STIRLING,GYJ45-68,4.5,China,202,2,Dryers,Low
41,SAMSUNG ELECTRONICS,WD10J8420GW,5,South Korea,182,3,Dryers,Low
42,GALANZ,DV-70Q1U,7,China,291,2,Dryers,High
43,GALANZ,DV-70Q5U,7,China,291,2,Dryers,High
44,GALANZ,DV-70T5U,7,China,291,2,Dryers,High
45,GALANZ,DV-70**U,7,China,291,2,Dryers,High
46,SPEED QUEEN,7kg Electric Dryers,7,United States of America,331,1.5,Dryers,High
47,SPEED QUEEN,ADEE8BWS433AW01,7,United States of America,331,1.5,Dryers,High
48,SPEED QUEEN,ADEE8RWS433AW01,7,United States of America,331,1.5,Dryers,High
49,SPEED QUEEN,ADEE9BSS433AN01,7,United States of America,331,1.5,Dryers,High
50,SPEED QUEEN,ADEE9RWS433AW01,7,United States of America,331,1.5,Dryers,High
51,SPEED QUEEN,ATEE9AWP433AW01,7,United States of America,331,1.5,Dryers,High
52,SPEED QUEEN,LDEE5BGS433AW01,7,United States of America,331,1.5,Dryers,High
53,SPEED QUEEN,LDEE7RWS433AW01,7,United States of America,331,1.5,Dryers,High
54,SPEED QUEEN,LTEE5ASP433AW01,7,United States of America,331,1.5,Dryers,High
55,SPEED QUEEN,LTEE5ASP433AW12,7,United States of America,331,1.5,Dryers,High
56,EUROCLEAN,ECGA8CD,8,China,326,2.5,Dryers,High
57,TECHNIKA,TWDC1400,3.5,China,133,3,Dryers,Low
58,TECO,TCD70ASAMDBF,7,China,311,2,Dryers,High
59,TECO,TCD70ASCAMDBF,7,China,311,2,Dryers,High
60,GVA,G7VDW15,7,China,311,2,Dryers,High
61,BOSCH,WVH28441AU,4,China,153,3,Dryers,Low
62,SMEG,SAHP86,8,Turkey,139,6,Dryers,Low
63,SMEG,SACD82,8,Turkey,352,2,Dryers,High
64,MIELE,T 7944 C,7,Germany,292,2,Dryers,High
65,MIELE,T 8822 C,7,Germany,292,2,Dryers,High
66,MIELE,T 8823 C,7,Germany,292,2,Dryers,High
67,MIELE,T 8843 C,7,Germany,292,2,Dryers,High
68,MIELE,T 8903 C,7,Germany,292,2,Dryers,High
69,ARISTON,AQD1071D 69ID AUS,6.5,Italy,226,3.5,Dryers,Low
70,BEKO,DCY 7402 GXB2,7,Turkey,308,2,Dryers,High
71,SIEMENS,T23-P,9,Poland,160,7,Dryers,Low
72,SIEMENS,WT47W580AU,9,Poland,160,7,Dryers,Low
74,BOSCH,WTW87565AU,9,Poland,160,7,Dryers,Low
75,CLASSIQUE,CL7DRY,7,China,311,2,Dryers,High
76,CLASSIQUE,CL7CDRY,7,China,311,2,Dryers,High
78,SAMSUNG ELECTRONICS,WD75J5410AW,4,China,165,2.5,Dryers,Low
79,BAUMATIC,BVD60,6,China,269,2,Dryers,High
80,AEG,L99699HWD,5,Italy,108,6,Dryers,Low
81,ELECTROLUX,EDH3786GDW,8,Poland,184,6,Dryers,Low
82,DAEWOO,DWC-LD1412,5,South Korea,219,2,Dryers,Low
83,FISHER & PAYKEL,DE6060**,6,China,267,2,Dryers,High
84,FISHER & PAYKEL,DE6060G1,6,China,267,2,Dryers,High
85,FISHER & PAYKEL,DE6060M1,6,China,267,2,Dryers,High
86,FISHER & PAYKEL,DE6060P1,6,China,267,2,Dryers,High
87,MIELE,TMV 840 WP,9,"Germany,Czechia",141,8,Dryers,Low
88,AEG,T97689IH,8,Poland,123,8,Dryers,Low
89,BOSCH,WTW85460AU,9,Poland,175,7,Dryers,Low
90,BOSCH,WTG86400AU,8,Poland,360,2,Dryers,High
91,SIEMENS,WT47Y7W0AU,9,Poland,150,8,Dryers,Low
92,FAIRHALL,CD70SENS,7,China,311,2,Dryers,High
93,ELECTROLUX,TE1120,8,Italy,358,2,Dryers,High
94,SIEMENS,WT45W460AU,9,Poland,179,7,Dryers,Low
95,SIEMENS,WT46G400AU,8,Poland,360,2,Dryers,High
96,BOSCH,WTY877W0AU,9,Poland,150,8,Dryers,Low
97,MIELE,WT 2780,2.5,Germany,77,4,Dryers,Low
98,TEKA,TCD70,7,China,310,2,Dryers,High
99,TEKA,THPD70,7,China,131,6,Dryers,Low
100,FISHER & PAYKEL,DH8060P1,8,China,155,7,Dryers,Low
101,FISHER & PAYKEL,DE5060**,5,China,220,2,Dryers,Low
102,FISHER & PAYKEL,DE5060G1,5,China,220,2,Dryers,Low
103,FISHER & PAYKEL,DE5060M1,5,China,220,2,Dryers,Low
104,FISHER & PAYKEL,DE5060MU1,5,China,220,2,Dryers,Low
105,INDESIT,XWDE 8612X AUS,5.5,Italy,210,3,Dryers,Low
106,SPEED QUEEN,ADE3TRWS431AW01,9,United States of America,430,1.5,Dryers,High
107,EURO,EL8W4DW,4.5,Turkey,173,2.5,Dryers,Low
108,TECHNIKA,TCD7E,7,China,314,2,Dryers,High
109,BEKO,DPE7400,7,Turkey,145,6,Dryers,Low
110,TECHNIKA,TVD7U,7,China,311,2,Dryers,High
111,HOOVER,DNH D8513AX-AUS,8,"China,Turkey",167,6,Dryers,Low
112,BEKO,WDA8514AT,5,Turkey,175,3.5,Dryers,Low
113,BEKO,DPY8500,8,Turkey,135,8,Dryers,Low
114,V-ZUG,12005,7,Switzerland,86,9,Dryers,Low
115,EUROMAID,DE6KG,6,China,269,2,Dryers,High
116,V-ZUG,12006,7,Switzerland,73,10,Dryers,Low
117,EUROMAID,HPD7,7,Turkey,155,6,Dryers,Low
118,WHIRLPOOL,HSCR80420,8,France,158,7,Dryers,Low
119,SAMSUNG ELECTRONICS,WD16J9845KG,8,South Korea,331,2.5,Dryers,High
120,HOOVER,DNC D 8513BX-AUS,8,Turkey,343,2,Dryers,High
121,WHIRLPOOL,DSCR80320,8,France,358,2,Dryers,High
122,FISHER & PAYKEL,DE4060M1,4,China,180,2,Dryers,Low
123,HAIER,HDY-D60,6,China,284,1.5,Dryers,High
124,SAMSUNG ELECTRONICS,WD13J7825KP,7,South Korea,314,2,Dryers,High
125,TEKA,TFL7D35,3.5,China,126,3,Dryers,Low
126,MIDEA,MDV07,7,China,311,2,Dryers,High
127,BOSCH,WVH28490AU,4,China,153,3,Dryers,Low
128,SIEMENS,WD14H490AU,4,China,153,3,Dryers,Low
129,MIDEA,MDC07,7,China,314,2,Dryers,High
130,MIDEA,MDHP07,7,China,160,6,Dryers,Low
131,AEG,T86280AC,8,Poland,357,2,Dryers,High
132,ARTUSI,ACD40A,4,China,180,2,Dryers,Low
133,HAIER,HDV50E1,5,China,220,2,Dryers,Low
