,Brand Name,Model Number,Size,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type,EcoLife Rating
0,KOGAN,KALED32SMTZA,32.0 LCD (LED),China,156,4,Televisions,Low
1,KOGAN,KALED32XXXZB,32.0 LCD,China,131,5,Televisions,Low
2,JVC,LT-50N530Z,50.0 LCD (LED),China,386,3.5,Televisions,Medium
3,TEAC,LED2402FV,24.0 LCD (LED),China,96,4,Televisions,Low
4,TEAC,LEDV2416FV,24.0 LCD (LED),China,96,4,Televisions,Low
5,SUNVIEW,SA28ADEHDP,28.0 LCD (LED),China,91,5.5,Televisions,Low
6,WINTAL,15LED14HD,16.0 LCD (LED),China,37,6,Televisions,Low
7,KONKA,KDL55JT611A,56.0 LCD (LED),China,354,5,Televisions,Medium
8,SAMSUNG,UA85HU8500W,85.0 LCD (LED),Malaysia,773,5,Televisions,High
9,SHARP,LC-60LE360X,60.0 LCD (LED),Malaysia,453,4.5,Televisions,Medium
10,SHARP,,70.0 LCD (LED),Malaysia,454,5.5,Televisions,Medium
11,SHARP,LC-70LE360X,70.0 LCD (LED),Malaysia,454,5.5,Televisions,Medium
12,SAMSUNG,UA40H5303AW,40.0 LCD (LED),Malaysia,163,5.5,Televisions,Low
13,SAMSUNG,UA58H5200AW,57.0 LCD (LED),Malaysia,249,6,Televisions,Low
14,SAMSUNG,UA48H4200AW,48.0 LCD (LED),Malaysia,152,7,Televisions,Low
15,SAMSUNG,UA55H6800,55.0 LCD (LED),Malaysia,239,6,Televisions,Low
16,SAMSUNG,UA55H6800AS,55.0 LCD (LED),Malaysia,239,6,Televisions,Low
17,SAMSUNG,UA55H6800AW,55.0 LCD (LED),Malaysia,239,6,Televisions,Low
18,SAMSUNG,UA48H6800,48.0 LCD (LED),Malaysia,199,6,Televisions,Low
19,SAMSUNG,UA48H6800AS,48.0 LCD (LED),Malaysia,199,6,Televisions,Low
20,SAMSUNG,UA48H6800AW,48.0 LCD (LED),Malaysia,199,6,Televisions,Low
21,BANG & OLUFSEN,BeoVision Avant 55,55.0 LCD (LED),"Denmark,Czechia",618,2,Televisions,High
22,VEON,V55FHD,55.0 LCD,China,404,4,Televisions,Medium
23,VEON,V39FHDC,40.0 LCD,China,189,5,Televisions,Low
24,BANG & OLUFSEN,BeoVision Avant,85.0 LCD (LED),"Czechia,Denmark",1136,3,Televisions,High
25,BANG & OLUFSEN,BeoVision Avant 85,85.0 LCD (LED),"Czechia,Denmark",1136,3,Televisions,High
26,CHANGHONG,LED65C5500I,65.0 LCD (LED),China,372,6,Televisions,Medium
27,SHARP,LC-32LE360X,32.0 LCD (LED),Malaysia,126,5,Televisions,Low
28,MILLENNIUS,MLED65F03D3DS,65.0 LCD (LED),China,650,3.5,Televisions,High
