,Brand Name,Model Number,Size,Manufacturing Countries,Comparative Energy Consumption,Star Rating,Appliance Type,EcoLife Rating
0,HAIER,XQJ50 31A,5,China,480,1.5,Washing Machines,Medium
1,INDESIT,W93,5.5,Italy,240,3.5,Washing Machines,Low
2,INDESIT,WE12,6,Italy,277,3.5,Washing Machines,Low
3,INDESIT,WD11,6,Italy,327,3,Washing Machines,Low
4,SMEG,S750,6.5,Chile,380,2.5,Washing Machines,Low
5,SMEG,S650,6.5,Chile,377,2.5,Washing Machines,Low
6,MALBER,6,6,Italy,231,3.5,Washing Machines,Low
7,CANDY,CB 103 TR,5,Italy,654,1,Washing Machines,High
8,ASKO,W6444,7,Sweden,180,5,Washing Machines,Low
9,ASKO,W6564,7,Sweden,180,5,Washing Machines,Low
10,ASKO,W6984,7,Sweden,180,5,Washing Machines,Low
11,ASKO,W6884,7,Sweden,180,5,Washing Machines,Low
12,WHIRLPOOL,WTWE75AW1,7.5,India,620,2,Washing Machines,Medium
13,WHIRLPOOL,WTWE85IG1,8.5,India,462,3,Washing Machines,Medium
14,WHIRLPOOL,WTWE85IW1,8.5,India,462,3,Washing Machines,Medium
15,WHIRLPOOL,WTWE85IW1 / WTWE85IG1,8.5,India,462,3,Washing Machines,Medium
16,HISENSE,HWFE7510,7.5,China,420,3,Washing Machines,Medium
17,EURO,EFL6KWH,6,China,265,3,Washing Machines,Low
18,BRAV,GreenTech10A,7,China,432,2.5,Washing Machines,Medium
19,BEKO,WMY 1048 LB1,10,Turkey,380,4,Washing Machines,Low
20,EUROMAID,TL6KG,6,China,544,1.5,Washing Machines,Medium
21,ARISTON,ARMF125 (AUS),7.5,Italy,544,2.5,Washing Machines,Medium
22,ARISTON,ARMF125 (AUS)1,7.5,Italy,544,2.5,Washing Machines,Medium
23,ARISTON,ARXF125,7.5,Italy,544,2.5,Washing Machines,Medium
24,INDESIT,IWDC 7125,7.5,Italy,544,2.5,Washing Machines,Medium
25,INDESIT,IWDC 7125 B (AUS),7.5,Italy,544,2.5,Washing Machines,Medium
26,INDESIT,IWDC 7125 B (AUS)1,7.5,Italy,544,2.5,Washing Machines,Medium
27,EUROMAID,TL8KG,8,China,586,2,Washing Machines,Medium
28,PANASONIC,NA-F85H3W**,8.5,Taiwan,730,2,Washing Machines,High
29,PANASONIC,NA-F85H3WAU,8.5,Taiwan,730,2,Washing Machines,High
30,PANASONIC,NA-F85H3WNZ,8.5,Taiwan,730,2,Washing Machines,High
31,FISHER & PAYKEL,WH8060P*,8,China,295,4,Washing Machines,Low
32,FISHER & PAYKEL,WH8060P2,8,China,295,4,Washing Machines,Low
34,FISHER & PAYKEL,WH8060P1,8,China,295,4,Washing Machines,Low
35,LEMAIR,LW5,5,China,420,2,Washing Machines,Medium
36,LEMAIR,LTT8,8,China,662,1.5,Washing Machines,High
37,ARISTON,AQ82F 29 AUS,8,Italy,297,4,Washing Machines,Low
38,ARISTON,AQ82L 29 AUS,8,Italy,297,4,Washing Machines,Low
39,ARISTON,AQ82 Series,8,Italy,297,4,Washing Machines,Low
40,ARISTON,AQ94F 49D AUS,9,Italy,256,4.5,Washing Machines,Low
41,ARISTON,AQ104D 69D AUS,10,Italy,289,4.5,Washing Machines,Low
42,SAMSUNG,WA10J7750GW,10,China,561,3,Washing Machines,Medium
43,TECO,TWM80TTAMFBE,8,China,662,1.5,Washing Machines,High
44,MIELE,WDA 210 WPM,7,"Germany,Czechia",242,4,Washing Machines,Low
45,MIELE,WDA 110,7,"Czechia,Germany",242,4,Washing Machines,Low
46,TECO,TWM65TTAMFBE,6.5,China,501,2,Washing Machines,Medium
47,TECO,TWM100TTAMFBE,10,China,811,2,Washing Machines,High
48,MIELE,WK*130,8,"Czechia,Germany",230,4.5,Washing Machines,Low
49,MIELE,WKB130,8,"Czechia,Germany",230,4.5,Washing Machines,Low
50,MIELE,WKG130,8,"Czechia,Germany",230,4.5,Washing Machines,Low
51,MIELE,WK***0,8,"Czechia,Germany",231,4.5,Washing Machines,Low
52,MIELE,WKF130,8,"Czechia,Germany",231,4.5,Washing Machines,Low
53,MIELE,WKF130 WPS,8,"Czechia,Germany",231,4.5,Washing Machines,Low
54,MIELE,WKH130 WPS,8,"Czechia,Germany",231,4.5,Washing Machines,Low
55,MIELE,WKR770 WPS,8,"Czechia,Germany",231,4.5,Washing Machines,Low
56,BOSCH,WAS28464AU,8,China,260,4,Washing Machines,Low
57,FISHER & PAYKEL,WA1068P*,10,Thailand,345,4,Washing Machines,Low
58,FISHER & PAYKEL,WA1068P1,10,Thailand,345,4,Washing Machines,Low
59,BENCO,BFL50AUA,5,China,406,2,Washing Machines,Medium
60,FISHER & PAYKEL,WA55T56GW*,5.5,Thailand,487,2,Washing Machines,Medium
61,FISHER & PAYKEL,WA55T56GW1,5.5,Thailand,487,2,Washing Machines,Medium
62,TISIRA,MB70T,7,China,527,2,Washing Machines,Medium
63,LG,WD1200D,7,China,343,3.5,Washing Machines,Low
64,HOOVER,DXT 58H/1-AUS,8,Italy,238,4.5,Washing Machines,Low
65,HOOVER,DXA 47/1-AUS,7,China,313,3.5,Washing Machines,Low
66,HOOVER,DXC 27/1-AUS,7,China,285,3.5,Washing Machines,Low
67,TISIRA,MTM65-P701PQ,6.5,China,501,2,Washing Machines,Medium
68,DAEWOO,XQG30-881E,3,North Korea,300,1.5,Washing Machines,Low
69,SIMPSON,Simpson,5.5,Thailand,383,2.5,Washing Machines,Low
